Height,Roughness,Segregation,Diversity
4.69E-06,1.29E-06,0.513411253,0.489009965
4.54E-06,1.44E-06,0.513398394,0.489009965
4.73E-06,1.79E-06,0.522770964,0.478928381
2.38E-06,1.00E-07,0.2000001,0.933333433
2.40E-06,1.00E-07,0.2000001,0.933333433
2.19E-06,1.00E-07,0.253333433,0.906666767
3.14E-06,1.00E-07,0.2750001,0.805555656
3.31E-06,1.00E-07,0.2750001,0.805555656
3.48E-06,1.00E-07,0.281818282,0.781818282
3.48E-06,1.00E-07,0.281818282,0.781818282
3.93E-06,1.00E-07,0.325453931,0.715311418
3.93E-06,1.00E-07,0.325453931,0.715311418
4.16E-06,6.07E-07,0.396027119,0.619861646
3.97E-06,1.26E-06,0.439590163,0.570741339
4.11E-06,1.17E-06,0.439590163,0.570741339
4.69E-06,1.39E-06,0.480694615,0.526716766
4.39E-06,1.54E-06,0.480694615,0.526716766
4.58E-06,2.04E-06,0.480817742,0.522136113
4.98E-06,1.75E-06,0.480808405,0.522136113
5.61E-06,1.69E-06,0.5066191,0.495396886
5.56E-06,1.77E-06,0.506799743,0.495396886
6.82E-06,1.61E-06,0.499419197,0.502315999
2.38E-06,1.00E-07,0.2000001,0.933333433
2.84E-06,1.00E-07,0.238095338,0.857142957
2.19E-06,1.00E-07,0.261904862,0.866666767
3.36E-06,1.00E-07,0.306666767,0.755555656
3.36E-06,1.00E-07,0.306666767,0.755555656
3.91E-06,1.00E-07,0.379166767,0.6500001
3.91E-06,1.00E-07,0.379166767,0.6500001
4.10E-06,2.71E-07,0.420182436,0.59568671
4.12E-06,2.60E-07,0.420182436,0.59568671
3.86E-06,8.94E-07,0.478590347,0.530050592
4.46E-06,5.73E-07,0.516783538,0.487951878
4.17E-06,9.35E-07,0.516783538,0.487951878
5.10E-06,1.02E-06,0.544509009,0.458133427
4.66E-06,1.28E-06,0.544509009,0.458133427
4.87E-06,1.61E-06,0.558958678,0.442527671
4.52E-06,1.89E-06,0.558954892,0.442527671
5.44E-06,1.69E-06,0.568031785,0.432882845
5.55E-06,1.74E-06,0.568308602,0.432882845
6.73E-06,1.34E-06,0.576230728,0.425244343
2.36E-06,1.00E-07,0.2000001,0.933333433
2.46E-06,1.00E-07,0.215238195,0.902857243
2.42E-06,1.00E-07,0.237142957,0.885714386
3.07E-06,1.00E-07,0.26031756,0.826190576
3.19E-06,1.00E-07,0.26031756,0.826190576
3.50E-06,1.00E-07,0.276450316,0.775151615
3.52E-06,1.00E-07,0.276450316,0.775151615
3.97E-06,1.50E-07,0.344574636,0.685407886
3.76E-06,4.06E-07,0.344574636,0.685407886
3.78E-06,1.08E-06,0.396419929,0.619505894
4.35E-06,1.04E-06,0.445351155,0.563553661
4.29E-06,1.08E-06,0.445351155,0.563553661
4.78E-06,9.76E-07,0.470419335,0.534255503
4.86E-06,9.54E-07,0.470419335,0.534255503
5.68E-06,8.59E-07,0.489758417,0.512952971
5.36E-06,1.57E-06,0.489768373,0.512952971
5.90E-06,1.68E-06,0.497642809,0.503817363
6.13E-06,1.54E-06,0.497891079,0.503817363
7.28E-06,1.17E-06,0.504681669,0.496822888
2.38E-06,1.00E-07,0.2000001,0.933333433
