"FD","Fractal","nparticle","mass"
-9.38198272747644,-2.7279091594644,12.9239582912878,-24.3552449172528
-9.35697564132807,-2.66372149109994,12.9239582912878,-24.217838022517
-9.27449831138211,-2.74432242678581,13.2594106819604,-24.0248245804631
-9.25178292462539,-2.68108467993937,13.2594106819604,-23.8999191887627
-9.17389769384634,-2.75738526584437,13.5784100600209,-23.7229104042181
-9.15294947961987,-2.69381039748031,13.5784100600209,-23.6068452527748
-9.0825691383677,-2.76834620343627,13.8644300471042,-23.4461787355106
-9.0148611821027,-2.82874941412488,14.1261666939759,-23.2885859255804
-8.99802399095134,-2.77447837747733,14.1261666939759,-23.1887363560741
-8.9322688158907,-2.83263818313981,14.3751834871242,-23.0372501138463
-8.91559320659873,-2.77382171910416,14.3751834871242,-22.9386203337325
-8.85259004414234,-2.83394780609739,14.6095247233776,-22.7911923748254
-8.83586119670845,-2.77210947846837,14.6095247233776,-22.6930087425071
-8.77109801634857,-2.8367547314279,14.8482543748357,-22.5422014556351
-8.75415609454321,-2.77367216184644,14.8482543748357,-22.4433831601335
-13.0239560691778,-0.810274814537495,1.79175946922805,-34.7684331612341
-12.9959038792956,-0.845957723356994,1.88706964903238,-34.7258805139454
-13.0046585695786,-0.860015886220133,1.88706964903238,-34.7240469485245
-12.9098759079519,-0.963357938493341,2.12823170584927,-34.4965312254245
-12.9464375552755,-0.955246942000235,2.12823170584927,-34.6165018237166
-12.7770831135436,-1.16971871001514,2.62466859216316,-34.157951299243
-12.7249742677921,-1.11803785130237,2.62466859216316,-33.9689593373128
-12.6322190310148,-1.29332363874555,3.01553490085017,-33.731704958217
-12.5678859371528,-1.23671743694156,3.01553490085017,-33.4981480984256
-12.4428088376183,-1.4492338374007,3.58351893845611,-33.2054561009385
-12.3262021119135,-1.63153896127389,4.10098910494077,-32.90560268417
-12.2573188317602,-1.57778896295919,4.10098910494077,-32.6339457071483
-12.1156014109717,-1.75568297110275,4.71492104994721,-32.2973936870562
-12.0445132251837,-1.69552338232609,4.71492104994721,-32.011248410067
-11.9178538703985,-1.85755712471992,5.26785815906333,-31.6765688183465
-11.8415697000082,-1.79865868432284,5.26785815906333,-31.3781613873624
-11.6979064999678,-1.95814686002002,5.91458350277202,-31.0249116366174
-11.6210854682746,-1.89711757548556,5.91458350277202,-30.7222222681549
-11.4907185234789,-2.04040471976472,6.48890093375496,-30.3766960170676
-11.4105839939372,-1.98172479675661,6.48890093375496,-30.0690048733001
-11.2690827683098,-2.11825513828184,7.12624803208092,-29.7140700415369
-11.1349416167256,-2.24997405029472,7.69712131728263,-29.3636035217154
-11.0602636112211,-2.18827539023087,7.69712131728263,-29.0614385560409
-10.9144790445851,-2.31565721671088,8.33235647425662,-28.7029656336472
